"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"787",11096,"The Border",6.9,748,"Action","Crime","Drama",60,"tvSeries",5466,"Uni.",6118683,1982,NA,"No","No","Catherine Disher","Mark Wilson","James McGowan",NA,NA,NA,NA,NA,NA,NA
"788",11125,"The Boys",8.8,91984,"Action","Comedy","Crime",60,"tvSeries",16033,"Strat.",3146,1999,NA,"No","No","Karl Urban","Jessie T. Usher","Jack Quaid","Chace Crawford","Antony Starr",NA,NA,NA,NA,NA
"789",11127,"The Boys Are Back",7.2,32,"Comedy",NA,NA,30,"tvSeries",8204,"Mira.",809752,2009,NA,"No","No","Bess Meyer","Ryan O'Donohue","Kelsey Mulrooney","Justin Cooper","Kevin Crowley","Hal Linden","Suzanne Pleshette","George Newbern",NA,NA
"790",11140,"The Break",6.6,187,"Drama",NA,NA,60,"tvSeries",14430,"Castle",14760,1998,NA,"No","No","David Hayman","Jasmine Jobson","Charlotte Beaumont","David Ajala","James Rottger",NA,NA,NA,NA,NA
"791",11145,"The Bridge",7.6,17003,"Crime","Drama","Mystery",43,"tvSeries",10458,"FStr.",179780,2006,NA,"No","No","Matthew Lillard","Annabeth Gish","Ted Levine","Thomas M. Wright",NA,NA,NA,NA,NA,NA
"792",11146,"The Bridge",7,434,"Crime","Drama",NA,60,"tvSeries",10458,"FStr.",179780,2006,NA,"No","No","Genadijs Dolganovs","Inga Cadranel","Paul Popowich","Frank Cassini","Aaron Douglas","Michael Murphy",NA,NA,NA,NA
"793",11153,"The Brink",7.8,12471,"Comedy",NA,NA,30,"tvSeries",11320,"Magn.",106057,2019,NA,"No","No","Geoff Pierson","Maribeth Monroe","Esai Morales","Tim Robbins","Aasif Mandvi","Pablo Schreiber","Jack Black","Eric Ladin",NA,NA
"794",11158,"The Brothers",8.1,58,"Drama",NA,NA,50,"tvSeries",2865,"SGem",27457409,2001,NA,"No","No","Derek Benfield","Jean Anderson","Margaret Ashcroft","Patrick O'Connell",NA,NA,NA,NA,NA,NA
"795",11220,"The Chase",7.6,84,"Drama",NA,NA,60,"tvSeries",5083,"Fox",7924955,1994,NA,"No","No","Gaynor Faye","Sunetra Sarker","Rachel Davies","Nicola Stephenson","Reece Dinsdale","Nicholas Gleaves","Liam Garrigan","Janet Dibley",NA,NA
"796",11224,"The Chase",7.4,556,"Game-Show",NA,NA,60,"tvSeries",5083,"Fox",7924955,1994,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"797",11240,"The Circle",7.7,138,"Game-Show","Reality-TV",NA,60,"tvSeries",9081,"Wins.",440554,2001,NA,"No","No","Sophie Willan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"798",11249,"The Class",7.7,4446,"Comedy","Romance",NA,22,"tvSeries",6134,"SPC",3766810,2008,NA,"No","No","Lizzy Caplan","Sean Maguire","Jon Bernthal","Andrea Anders","Lucy Punch","Heather Goldenhersh","Jesse Tyler Ferguson","Jason Ritter",NA,NA
"799",11251,"The Client",6,188,"Crime","Drama","Thriller",60,"tvSeries",805,"WB",92115211,1994,NA,"No","No","John Heard","JoBeth Williams","Ossie Davis","Burke Moses","David Barry Gray","David Michael Mullins","William Converse-Roberts","Derek McGrath",NA,NA
"800",11261,"The Collection",7.1,1687,"Drama","History","Romance",60,"tvSeries",5307,"LD",6842058,2012,NA,"No","No","Richard Coyle","Frances de la Tour","Rosie Jones","Max Deacon","Alexandre Brasseur","Alix Poisson","Jenna Thiam",NA,NA,NA
"801",11264,"The Collector",6.7,684,"Action","Drama","Fantasy",60,"tvSeries",5123,"Free",7712114,2009,NA,"No","No","Sonya Salomaa","Carly Pope","Chris Kramer","Ona Grauer",NA,NA,NA,NA,NA,NA
"802",11293,"The Contender",7.5,592,"Action","Game-Show","Reality-TV",120,"tvSeries",3679,"DW",17872723,2000,NA,"No","No","Jeff Fraza","Sergio Mora","Jeremy Williams","Tommy Gallagher",NA,NA,NA,NA,NA,NA
"803",11303,"The Count of Monte Cristo",7.5,28,"Adventure","Family",NA,30,"tvSeries",1559,"BV",54234062,2002,NA,"No","No","Nick Cravat","Patricia Laffan","George Dolenz",NA,NA,NA,NA,NA,NA,NA
"804",11305,"The Count of Monte Cristo",8.5,92,"Adventure",NA,NA,25,"tvSeries",1559,"BV",54234062,2002,NA,"No","No","Rosalie Crutchley","Michael Gough",NA,NA,NA,NA,NA,NA,NA,NA
"805",11320,"The Crew",7.7,34,"Comedy",NA,NA,30,"tvSeries",4315,"BV",13023075,2000,NA,"No","No","David Burke","Charles Esten",NA,NA,NA,NA,NA,NA,NA,NA
"806",11325,"The Crossing",7.7,7,"Adventure","Drama","Mystery",NA,"tvSeries",11586,"CMC",90896,2019,NA,"No","No","Ryan Morgan","Wayne Tunks","Oscar Morphew",NA,NA,NA,NA,NA,NA,NA
"807",11326,"The Crossing",7.2,7773,"Adventure","Drama","Sci-Fi",42,"tvSeries",11586,"CMC",90896,2019,NA,"No","No","Marcuis Harris","Tommy Bastow","Grant Harvey","Jay Karnes","Natalie Martinez",NA,NA,NA,NA,NA
"808",11346,"The Cut",8.1,91,"Drama","Short",NA,NA,"tvSeries",13463,"Strand",28066,2015,NA,"No","No","Wilfred Taylor","Maisie Crossland","Matt Kane",NA,NA,NA,NA,NA,NA,NA
"809",11347,"The Cut",6.2,25,"Game-Show","Reality-TV",NA,60,"tvSeries",13463,"Strand",28066,2015,NA,"No","No","Jeff Berin","Funkmaster Flex","Deanna Bonin","Naomi Campbell","Felix Arguelles",NA,NA,NA,NA,NA
"810",11349,"The Cutting Edge",7.5,14,"Comedy","Music","Talk-Show",60,"tvSeries",3045,"MGM",25105517,1992,NA,"No","No","Merrill Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",11386,"The Dead Zone",7.4,8148,"Drama","Fantasy","Mystery",60,"tvSeries",3406,"Par.",20766616,1983,NA,"No","No","Nicole de Boer","Spencer Achtymichuk","Anthony Michael Hall","Chris Bruno","Bill Mondy","David Ogden Stiers","John L. Adams",NA,NA,NA
