"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"7624",8138,"Outrage",6.7,884,"Crime","Drama","Film-Noir",75,"movie",9725,"Magn.",287198,2009,NA,"No","No","Mala Powers","Robert Clarke","Raymond Bond","Tod Andrews",NA,NA,NA,NA,NA,NA
"7625",8139,"Outrage",3.1,248,"Fantasy","Thriller",NA,89,"movie",9725,"Magn.",287198,2009,NA,"No","No","Michael Madsen","Michael Berryman","Paulyd","Natasha Lyonne",NA,NA,NA,NA,NA,NA
"7626",8140,"Outrage",7.5,1553,"Documentary",NA,NA,90,"movie",9725,"Magn.",287198,2009,NA,"No","No","Barney Frank","Elizabeth Birch",NA,NA,NA,NA,NA,NA,NA,NA
"7627",8142,"Outrageous Fortune",6.2,6833,"Comedy",NA,NA,99,"movie",1603,"BV",52864741,1987,NA,"No","No","Robert Prosky","Peter Coyote","Bette Midler","Shelley Long",NA,NA,NA,NA,NA,NA
"7628",8143,"Outside In",6.6,2141,"Drama",NA,NA,109,"movie",12032,"Orch.",68492,2018,NA,"No","No","Ben Schwartz","Jay Duplass","Edie Falco","Kaitlyn Dever",NA,NA,NA,NA,NA,NA
"7629",8144,"Outside In",6.1,10,"Drama",NA,NA,90,"movie",12032,"Orch.",68492,2018,NA,"No","No","Heather Menzies-Urich","Darrell Larson","John Bill",NA,NA,NA,NA,NA,NA,NA
"7630",8145,"Outside In",6.6,15,"\N",NA,NA,115,"movie",12032,"Orch.",68492,2018,NA,"No","No","Olimpia Carlisi","Jaroslav Bradac","Claudia Boulton",NA,NA,NA,NA,NA,NA,NA
"7631",8146,"Outside Providence",6.4,8264,"Comedy","Drama","Romance",96,"movie",5199,"Mira.",7302522,1999,NA,"No","No","Amy Smart","Alec Baldwin","Shawn Hatosy","Tommy Bone",NA,NA,NA,NA,NA,NA
"7632",8148,"Outsourced",7,10862,"Comedy","Drama","Romance",103,"movie",10618,"Truly",163561,2007,NA,"No","No","Matt Smith","Josh Hamilton","Ayesha Dharker","Asif Basra",NA,NA,NA,NA,NA,NA
"7633",8149,"Over Her Dead Body",5.2,23186,"Comedy","Fantasy","Romance",95,"movie",5150,"NL",7563670,2008,NA,"No","No","Eva Longoria","Lake Bell","Jason Biggs","Paul Rudd",NA,NA,NA,NA,NA,NA
"7634",8150,"Over the Brooklyn Bridge",5.9,1382,"Comedy",NA,NA,108,"movie",8168,"MGM",837914,1983,NA,"No","No","Carol Kane","Margaux Hemingway","Elliott Gould","Sid Caesar",NA,NA,NA,NA,NA,NA
"7635",8151,"Over the Hedge",6.7,149956,"Adventure","Animation","Comedy",83,"movie",346,"P/DW",155019340,2006,NA,"No","No","Bruce Willis","Garry Shandling","Wanda Sykes","Steve Carell",NA,NA,NA,NA,NA,NA
"7636",8152,"Over the Limit",7.4,498,"Documentary","Sport",NA,74,"movie",16015,"FM",3243,2018,NA,"No","No","Yana Kudryavtseva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7637",8153,"Over the Top",5.8,46804,"Action","Drama","Sport",93,"movie",3907,"WB",16057580,1987,NA,"No","No","Susan Blakely","Rick Zumwalt","Sylvester Stallone","Robert Loggia",NA,NA,NA,NA,NA,NA
"7638",8154,"Overboard",6.9,48599,"Comedy","Romance",NA,106,"movie",2915,"MGM",26713187,1987,NA,"No","No","Goldie Hawn","Kurt Russell","Katherine Helmond","Edward Herrmann",NA,NA,NA,NA,NA,NA
"7639",8155,"Overboard",5.9,28108,"Comedy","Romance",NA,112,"movie",2915,"MGM",26713187,1987,NA,"No","No","John Hannah","Anna Faris","Eugenio Derbez","Eva Longoria",NA,NA,NA,NA,NA,NA
"7640",8156,"Overdrive",6.3,6,"\N",NA,NA,73,"movie",15266,"VE",7793,2017,NA,"No","No","Lucien Charbonnier","Marie-Paule Mailleux","Noël Godin","Jean-Pierre Bouyxou",NA,NA,NA,NA,NA,NA
"7641",8157,"Overdrive",5.4,10696,"Action","Thriller",NA,93,"movie",15266,"VE",7793,2017,NA,"No","No","Gaia Weiss","Freddie Thorp","Ana de Armas","Scott Eastwood",NA,NA,NA,NA,NA,NA
"7642",8158,"Overdrive",3.9,65,"Action",NA,NA,92,"movie",15266,"VE",7793,2017,NA,"No","No","Steve Guttenberg","Kaela Dobkin",NA,NA,NA,NA,NA,NA,NA,NA
"7643",8159,"Overexposed",5.2,68,"Mystery","Thriller",NA,80,"movie",8693,"Conc",577701,1990,NA,"No","No","Catherine Oxenberg","Karen Black","Ernest Alexander","David Naughton",NA,NA,NA,NA,NA,NA
"7644",8160,"Overlord",6.7,65159,"Action","Adventure","Horror",110,"movie",3295,"Par.",21704844,2018,NA,"No","No","Pilou Asbæk","Jovan Adepo","Wyatt Russell",NA,NA,NA,NA,NA,NA,NA
"7645",8162,"Overlord",7.1,2389,"Drama","History","War",83,"movie",3295,"Par.",21704844,2018,NA,"No","No","Julie Neesam",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7646",8163,"Owning Mahowny",7.1,12014,"Crime","Drama","Thriller",104,"movie",7925,"SPC",1011871,2003,NA,"No","No","John Hurt","Minnie Driver","Maury Chaykin","Philip Seymour Hoffman",NA,NA,NA,NA,NA,NA
"7647",8164,"Oxford Blues",5.3,2780,"Comedy","Drama","Sport",97,"movie",4938,"MGM",8793152,1984,NA,"No","No","Rob Lowe","Julian Sands","Amanda Pays","Ally Sheedy",NA,NA,NA,NA,NA,NA
"7648",8165,"Oxygen",5.5,18,"Drama",NA,NA,91,"movie",16051,"Una.",3088,1999,NA,"No","No","Malgorzata Braunek","Dusica Zegarac","Stevo Zigon","Dare Ulaga",NA,NA,NA,NA,NA,NA
"7649",8166,"Oxygen",6.1,4164,"Crime","Drama","Thriller",92,"movie",16051,"Una.",3088,1999,NA,"No","No","Adrien Brody","Laila Robins","James Naughton","Maura Tierney",NA,NA,NA,NA,NA,NA
"7650",8167,"P.S.",6.7,6,"Crime","Drama","Romance",100,"movie",10452,"NM",180503,2004,NA,"No","No","Siegrid Reintsch","Andrzej Pieczynski","Jutta Wachowiak","Dieter Franke",NA,NA,NA,NA,NA,NA
"7651",8168,"P.S.",6.1,5812,"Comedy","Drama","Fantasy",97,"movie",10452,"NM",180503,2004,NA,"No","No","Marcia Gay Harden","Gabriel Byrne","Topher Grace","Laura Linney",NA,NA,NA,NA,NA,NA
"7652",8169,"P.S. I Love You",7,193063,"Comedy","Drama","Romance",126,"movie",1575,"WB",53695808,2007,NA,"No","No","Gerard Butler","Harry Connick Jr.","Hilary Swank","Lisa Kudrow",NA,NA,NA,NA,NA,NA
"7653",8170,"P2",5.9,29925,"Crime","Horror","Thriller",98,"movie",6056,"Sum.",3995018,2007,NA,"No","No","Philip Akin","Wes Bentley","Simon Reynolds","Rachel Nichols",NA,NA,NA,NA,NA,NA
"7654",8171,"Paa",7.2,10756,"Comedy","Drama",NA,133,"movie",10328,"BPics",199228,2009,NA,"No","No","Amitabh Bachchan","Paresh Rawal","Abhishek Bachchan","Vidya Balan",NA,NA,NA,NA,NA,NA
"7655",8172,"Paan Singh Tomar",8.2,29865,"Action","Biography","Crime",135,"movie",12899,"UTV",40311,2012,NA,"No","No","Hemendra Dandotiya","Mahie Gill","Irrfan Khan","Navneet Gairola",NA,NA,NA,NA,NA,NA
"7656",8173,"Pacific Heights",6.4,16638,"Thriller",NA,NA,102,"movie",2757,"Fox",29381956,1990,NA,"No","No","Matthew Modine","Mako","Melanie Griffith","Michael Keaton",NA,NA,NA,NA,NA,NA
"7657",8174,"Pacific Rim",6.9,448355,"Action","Adventure","Sci-Fi",131,"movie",704,"WB",101802906,2013,NA,"No","No","Idris Elba","Charlie Hunnam","Charlie Day","Rinko Kikuchi",NA,NA,NA,NA,NA,NA
"7658",8175,"Paddington",7.2,87054,"Adventure","Comedy","Family",95,"movie",1028,"W/Dim.",76271832,2015,NA,"No","No","Hugh Bonneville","Julie Walters","Sally Hawkins","Jim Broadbent",NA,NA,NA,NA,NA,NA
"7659",8177,"Paddington 2",7.8,48975,"Adventure","Comedy","Family",103,"movie",2070,"WB",40891591,2018,NA,"No","No","Hugh Bonneville","Sally Hawkins","Ben Whishaw","Hugh Grant",NA,NA,NA,NA,NA,NA
"7660",8178,"Padmaavat",7,24342,"Drama","History","Romance",164,"movie",4476,"VPD",11846060,2018,NA,"No","No","Aditi Rao Hydari","Shahid Kapoor","Deepika Padukone","Ranveer Singh",NA,NA,NA,NA,NA,NA
"7661",8179,"Paheli",6.5,11792,"Drama","Fantasy","Romance",140,"movie",7397,"Eros",1409499,2005,NA,"No","No","Shah Rukh Khan","Anupam Kher","Rani Mukerji","Naseeruddin Shah",NA,NA,NA,NA,NA,NA
"7662",8180,"Paid in Full",7,9624,"Action","Crime","Drama",97,"movie",6384,"Mira.",3090862,2002,NA,"No","No","Mekhi Phifer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7663",8181,"Paid in Full",7.1,20,"Drama",NA,NA,NA,"movie",6384,"Mira.",3090862,2002,NA,"No","No","Pauline Frederick","Robert Cain","Wyndham Standing","Frank Losee",NA,NA,NA,NA,NA,NA
"7664",8182,"Paid in Full",6.7,118,"Drama",NA,NA,98,"movie",6384,"Mira.",3090862,2002,NA,"No","No","Diana Lynn","Robert Cummings",NA,NA,NA,NA,NA,NA,NA,NA
"7665",8183,"Paid in Full",5,6,"Action","Crime","Drama",90,"movie",6384,"Mira.",3090862,2002,NA,"No","No","Gerry Bednob","Zen Gesner","James Russo",NA,NA,NA,NA,NA,NA,NA
"7666",8184,"Painless",6.3,725,"Drama","Thriller",NA,81,"movie",15359,"Indic.",7082,2018,NA,"No","No","Evalena Marie","Joey Klein","Pascal Yen-Pfister","Kip Gilman",NA,NA,NA,NA,NA,NA
"7667",8185,"Paint Your Wagon",6.6,11262,"Comedy","Drama","Musical",164,"movie",4107,"Par.",14500000,1969,NA,"No","No","Clint Eastwood","Harve Presnell","Jean Seberg","Lee Marvin",NA,NA,NA,NA,NA,NA
"7668",8186,"Pale Rider",7.3,48630,"Drama","Western",NA,115,"movie",2043,"WB",41410568,1985,NA,"No","No","Michael Moriarty","Clint Eastwood","Sydney Penny","Carrie Snodgress",NA,NA,NA,NA,NA,NA
"7669",8187,"Palindromes",6.7,11670,"Comedy","Drama",NA,100,"movie",8751,"Wells",553368,2005,NA,"No","No","Ellen Barkin","Jennifer Jason Leigh","Matthew Faber","Stephen Adly Guirgis",NA,NA,NA,NA,NA,NA
"7670",8188,"Palmetto",6.1,7297,"Crime","Drama","Mystery",114,"movie",5532,"Sony",5878911,1998,NA,"No","No","Gina Gershon","Woody Harrelson","Rolf Hoppe","Elisabeth Shue",NA,NA,NA,NA,NA,NA
"7671",8189,"Palo Alto",6.2,25750,"Drama",NA,NA,100,"movie",8289,"Trib.",767732,2014,NA,"No","No","Jack Kilmer","Zoe Levin","Emma Roberts","James Franco",NA,NA,NA,NA,NA,NA
"7672",8190,"Palookaville",6.6,2311,"Comedy","Crime",NA,92,"movie",9349,"Gold.",365284,1996,NA,"No","No","Gareth Williams","Adam Trese","William Forsythe","Vincent Gallo",NA,NA,NA,NA,NA,NA
"7673",8191,"Pan",5.7,56640,"Adventure","Comedy","Family",111,"movie",2389,"WB",35088320,2015,NA,"No","No","Rooney Mara","Garrett Hedlund","Levi Miller",NA,NA,NA,NA,NA,NA,NA
"7674",8192,"Pan",6.6,34,"Drama",NA,NA,96,"movie",2389,"WB",35088320,2015,NA,"No","No","Lillebil Ibsen","Hans Bille","Rolf Christensen",NA,NA,NA,NA,NA,NA,NA
"7675",8193,"Pan",5.4,227,"Drama",NA,NA,115,"movie",2389,"WB",35088320,2015,NA,"No","No","Anneke von der Lippe","Sofie Gråbøl",NA,NA,NA,NA,NA,NA,NA,NA
"7676",8194,"Pan",7,5,"\N",NA,NA,93,"movie",2389,"WB",35088320,2015,NA,"No","No","Hugo Werner-Kahle","Marieluise Claudius",NA,NA,NA,NA,NA,NA,NA,NA
"7677",8195,"Pandaemonium",6.5,755,"Biography","Drama",NA,124,"movie",15652,"USA",5151,2001,NA,"No","No","John Hannah","Linus Roache","Samantha Morton","Emily Woof",NA,NA,NA,NA,NA,NA
"7678",8196,"Pandas",7.4,391,"Documentary",NA,NA,42,"movie",5564,"WB",5757906,2018,NA,"No","No","Kristen Bell",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7679",8197,"Pandora's Box",4.9,601,"Romance","Thriller",NA,103,"movie",8097,"Rain.",881950,2002,NA,"No","No","Joey Lawrence","Kristoff St. John","Monica Calhoun","Michael Jai White",NA,NA,NA,NA,NA,NA
"7680",8198,"Pandorum",6.7,138079,"Action","Horror","Mystery",108,"movie",4705,"Over.",10330853,2009,NA,"No","No","Antje Traue","Cam Gigandet","Ben Foster","Dennis Quaid",NA,NA,NA,NA,NA,NA
"7681",8199,"Panic",3.6,699,"Action","Drama","Thriller",91,"movie",8264,"Roxie",779137,2000,NA,"No","No","Alexander Enberg","Kristanna Loken","Rodney Rowland","Ted Shackelford",NA,NA,NA,NA,NA,NA
"7682",8200,"Panic",6.6,7790,"Comedy","Crime","Drama",88,"movie",8264,"Roxie",779137,2000,NA,"No","No","William H. Macy","Donald Sutherland","John Ritter","Neve Campbell",NA,NA,NA,NA,NA,NA
"7683",8201,"Panic",6,57,"Drama","Mystery","Thriller",85,"movie",8264,"Roxie",779137,2000,NA,"No","No","Jason Wong","David Gyasi",NA,NA,NA,NA,NA,NA,NA,NA
"7684",8202,"Panic",6.1,7,"\N",NA,NA,84,"movie",8264,"Roxie",779137,2000,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7685",8203,"Panic Room",6.8,241109,"Crime","Drama","Thriller",112,"movie",766,"Sony",96397334,2002,NA,"No","No","Dwight Yoakam","Forest Whitaker","Kristen Stewart","Jodie Foster",NA,NA,NA,NA,NA,NA
"7686",8204,"Panther",6.5,2125,"Drama",NA,NA,124,"movie",5311,"Gram.",6834525,1995,NA,"No","No","Bokeem Woodbine","Courtney B. Vance","Kadeem Hardison","Joe Don Baker",NA,NA,NA,NA,NA,NA
"7687",8205,"Panther",7.2,30,"Action",NA,NA,127,"movie",5311,"Gram.",6834525,1995,NA,"No","No","Saurav Chakrabarti","Biswarup Biswas","Shantilal Chatterjee","Saswata Chatterjee",NA,NA,NA,NA,NA,NA
"7688",8206,"Paparazzi",5.3,866,"Comedy","Romance",NA,111,"movie",3946,"Fox",15714234,2004,NA,"No","No","Isabelle Gélinas","Vincent Lindon","Patrick Timsit","Catherine Frot",NA,NA,NA,NA,NA,NA
"7689",8207,"Paparazzi",3.9,830,"Comedy",NA,NA,100,"movie",3946,"Fox",15714234,2004,NA,"No","No","Diego Abatantuono","Roberto Brunetti","Massimo Boldi",NA,NA,NA,NA,NA,NA,NA
"7690",8208,"Paparazzi",5.8,14221,"Action","Crime","Drama",84,"movie",3946,"Fox",15714234,2004,NA,"No","No","Robin Tunney","Dennis Farina","Cole Hauser",NA,NA,NA,NA,NA,NA,NA
"7691",8209,"Paper Clips",7.3,1651,"Documentary","War",NA,82,"movie",7730,"Slow",1121744,2004,NA,"No","No","Tom Bosley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7692",8211,"Paper Heart",6,7900,"Comedy","Drama","Romance",88,"movie",7535,"Over.",1274062,2009,NA,"No","No","Jake Johnson","Michael Cera","Charlyne Yi",NA,NA,NA,NA,NA,NA,NA
"7693",8212,"Paper Man",6.6,17497,"Comedy","Drama",NA,110,"movie",14560,"MPI",13514,2010,NA,"No","No","Ryan Reynolds","Jeff Daniels","Emma Stone","Lisa Kudrow",NA,NA,NA,NA,NA,NA
"7694",8213,"Paper Mask",6.8,538,"Drama","Thriller",NA,105,"movie",15243,"Castle",7991,1991,NA,"No","No","Amanda Donohoe","Paul McGann","Tom Wilkinson","Frederick Treves",NA,NA,NA,NA,NA,NA
"7695",8214,"Paper Towns",6.3,89299,"Comedy","Drama","Mystery",109,"movie",2587,"Fox",32000304,2015,NA,"No","No","Cara Delevingne","Nat Wolff","Austin Abrams","Justice Smith",NA,NA,NA,NA,NA,NA
"7696",8215,"Paperhouse",6.7,5009,"Drama","Fantasy",NA,92,"movie",10017,"Vest",241278,1989,NA,"No","No","Jane Bertish","Charlotte Burke","Glenne Headly","Samantha Cahill",NA,NA,NA,NA,NA,NA
"7697",8216,"Papi Chulo",6.3,514,"Comedy","Drama",NA,98,"movie",11711,"Blue Fox",83540,2019,NA,"No","No","Wendi McLendon-Covey","Matt Bomer","Elena Campbell-Martinez","Alejandro Patiño",NA,NA,NA,NA,NA,NA
"7698",8217,"Papillon",8,114530,"Biography","Crime","Drama",151,"movie",1590,"AAP",53267000,1973,NA,"No","No","Dustin Hoffman","Steve McQueen","Victor Jory","Don Gordon",NA,NA,NA,NA,NA,NA
"7699",8218,"Papillon",7.1,37666,"Adventure","Biography","Crime",133,"movie",1590,"AAP",53267000,1973,NA,"No","No","Charlie Hunnam","Christopher Fairbank","Jason Ryan","Damijan Oklopdzic",NA,NA,NA,NA,NA,NA
"7700",8219,"Paprika",5.2,77,"Adult","Drama","Romance",96,"movie",8096,"SPC",882267,2007,NA,"No","No","Luista Duarte","Roberto Malone","Cristina Ganz","Philippe Soine",NA,NA,NA,NA,NA,NA
"7701",8220,"Paprika",5.6,2929,"Drama",NA,NA,99,"movie",8096,"SPC",882267,2007,NA,"No","No","Stéphane Ferrara","Martine Brochard","Debora Caprioglio",NA,NA,NA,NA,NA,NA,NA
"7702",8221,"Paprika",6.6,10,"Comedy",NA,NA,91,"movie",8096,"SPC",882267,2007,NA,"No","No","Violetta Ferrari","Georg Thomalla","Willy Hagara",NA,NA,NA,NA,NA,NA,NA
"7703",8222,"Paradise",5,3271,"Comedy","Drama",NA,86,"movie",5621,"Emb",5588800,1982,NA,"No","No","Holly Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7704",8223,"Paradise",5.8,13,"Adult",NA,NA,70,"movie",5621,"Emb",5588800,1982,NA,"No","No","Gérard Grégory",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7705",8224,"Paradise",6.7,2559,"Drama",NA,NA,111,"movie",5621,"Emb",5588800,1982,NA,"No","No","Don Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7706",8225,"Paradise",6.7,16,"Crime","Drama",NA,120,"movie",5621,"Emb",5588800,1982,NA,"No","No","Elvira Tröger","Alex Demir","Autumn Wang",NA,NA,NA,NA,NA,NA,NA
"7707",8227,"Paradise",4.3,151,"Comedy","Drama",NA,80,"movie",5621,"Emb",5588800,1982,NA,"No","No","Olivia Burkhart",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7708",8228,"Paradise",5,42,"Biography","Drama",NA,107,"movie",5621,"Emb",5588800,1982,NA,"No","No","Mickey Rooney","Dee Wallace",NA,NA,NA,NA,NA,NA,NA,NA
"7709",8229,"Paradise",4.9,2253,"Adventure","Romance",NA,100,"movie",5621,"Emb",5588800,1982,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7710",8230,"Paradise Alley",6.8,46,"Drama",NA,NA,85,"movie",5230,"Uni.",7185518,1978,NA,"No","No","Marie Windsor","Carol Morris","Don Sullivan","Hugo Haas",NA,NA,NA,NA,NA,NA
"7711",8231,"Paradise Alley",5.8,4274,"Drama",NA,NA,107,"movie",5230,"Uni.",7185518,1978,NA,"No","No","Armand Assante","Sylvester Stallone","Frank McRae","Lee Canalito",NA,NA,NA,NA,NA,NA
"7712",8232,"Paradise Club",6.2,18,"Drama","History",NA,93,"movie",13794,"Indic.",22381,2017,NA,"No","No","Eric Roberts","Nicole Arianna Fox","Evan Williams","Elizabeth Rice",NA,NA,NA,NA,NA,NA
"7713",8233,"Paradise Lost",4.7,231,"Drama","Mystery","Sci-Fi",105,"movie",9811,"CThnk",272750,1996,NA,"No","No","Marina Sirtis","Nigel Havers","William Forsythe","Miguel Ángel Suárez",NA,NA,NA,NA,NA,NA
"7714",8234,"Paradise Now",7.4,21532,"Crime","Drama","Thriller",91,"movie",7352,"WIP",1457843,2005,NA,"No","No","Ali Suliman","Kais Nashif","Hamza Abu-Aiaash","Lubna Azabal",NA,NA,NA,NA,NA,NA
